tank_id,date,level_pct,turbidity_ntu,tds_ppm,ph,bacterial_risk_index,usage_lpd,overflow_events
TK-001,2026-01-01,60.2,3.6,300,7.16,43.2,7988,1
TK-001,2026-01-31,66.0,3.3,285,7.09,26.5,12832,0
TK-001,2026-03-02,93.3,3.9,281,6.45,45.9,8256,0
TK-001,2026-04-01,33.6,4.7,390,6.45,20.9,8259,2
TK-001,2026-05-01,65.9,2.9,340,6.84,30.3,11278,2
TK-001,2026-05-31,60.7,3.6,376,6.78,2.0,8419,0
TK-001,2026-06-30,96.1,1.0,427,6.8,27.1,4967,0
TK-001,2026-07-30,88.4,4.2,505,7.48,34.6,11959,0
TK-001,2026-08-29,72.9,4.5,323,6.98,17.5,10073,0
TK-001,2026-09-28,79.1,3.0,455,7.29,55.3,9426,0
TK-001,2026-10-28,36.7,3.2,244,6.72,50.7,9193,2
TK-001,2026-11-27,46.8,3.3,240,6.65,32.7,10488,1
TK-002,2026-01-01,76.0,0.4,377,6.98,34.2,11640,0
TK-002,2026-01-31,54.4,4.2,207,7.61,33.5,9716,1
TK-002,2026-03-02,54.7,4.5,446,7.05,31.5,8275,1
TK-002,2026-04-01,62.3,3.1,384,7.4,12.1,7287,0
TK-002,2026-05-01,91.7,2.2,275,7.04,40.7,7628,1
TK-002,2026-05-31,80.4,4.6,399,8.0,24.9,2591,2
TK-002,2026-06-30,93.9,2.6,359,7.54,4.0,4470,2
TK-002,2026-07-30,50.7,4.0,397,7.07,6.8,1824,0
TK-002,2026-08-29,66.0,2.6,391,7.27,30.1,9500,1
TK-002,2026-09-28,74.5,2.2,333,7.04,40.3,6615,2
TK-002,2026-10-28,74.4,2.9,339,7.32,2.0,4358,2
TK-002,2026-11-27,25.0,2.3,417,6.82,31.0,10323,0
TK-003,2026-01-01,88.9,3.2,471,6.99,15.4,6113,1
TK-003,2026-01-31,49.0,2.8,422,7.72,7.3,8582,1
TK-003,2026-03-02,46.3,4.0,338,6.13,41.9,6087,1
TK-003,2026-04-01,45.7,2.3,388,6.86,32.9,8504,0
TK-003,2026-05-01,88.8,2.8,217,7.43,23.0,10386,0
TK-003,2026-05-31,62.6,3.8,525,7.88,29.0,8000,0
TK-003,2026-06-30,84.4,2.0,379,6.94,32.7,5516,2
TK-003,2026-07-30,27.7,1.6,308,6.82,57.1,10364,0
TK-003,2026-08-29,47.7,3.8,313,6.82,30.8,9147,0
TK-003,2026-09-28,84.1,1.6,350,8.12,31.3,11183,1
TK-003,2026-10-28,66.6,4.2,344,6.87,16.3,8675,1
TK-003,2026-11-27,77.0,4.9,382,6.82,34.8,6828,2
TK-004,2026-01-01,81.8,0.6,319,6.05,5.6,11009,1
TK-004,2026-01-31,52.0,1.0,100,6.71,64.3,8687,0
TK-004,2026-03-02,54.9,4.0,209,6.82,29.5,7384,1
TK-004,2026-04-01,71.2,4.3,288,7.35,52.4,5174,0
TK-004,2026-05-01,49.0,5.3,332,7.58,21.4,11237,2
TK-004,2026-05-31,69.6,5.6,317,6.53,21.3,8730,1
TK-004,2026-06-30,36.8,4.3,301,7.47,2.0,5633,0
TK-004,2026-07-30,50.1,3.7,333,6.84,25.6,8108,0
TK-004,2026-08-29,46.8,4.4,409,7.12,36.3,8341,1
TK-004,2026-09-28,63.4,2.8,282,6.49,9.3,5378,2
TK-004,2026-10-28,63.7,3.8,354,6.61,41.5,9448,0
TK-004,2026-11-27,53.2,4.1,366,6.3,27.0,8255,0
TK-005,2026-01-01,48.8,3.6,219,7.55,46.7,6968,1
TK-005,2026-01-31,25.0,1.6,323,6.47,38.7,12593,2
TK-005,2026-03-02,43.8,2.0,371,7.68,9.7,8222,1
TK-005,2026-04-01,35.3,1.4,311,6.72,40.2,8204,1
TK-005,2026-05-01,33.1,4.1,298,7.52,18.6,6008,0
TK-005,2026-05-31,78.7,4.0,198,7.19,12.5,8188,2
TK-005,2026-06-30,39.4,4.0,277,6.37,38.7,8204,2
TK-005,2026-07-30,91.1,2.6,352,7.07,18.7,8777,0
TK-005,2026-08-29,55.4,2.7,472,6.48,2.0,11627,1
TK-005,2026-09-28,57.7,0.4,322,6.82,25.2,4816,2
TK-005,2026-10-28,75.4,4.1,215,7.26,58.8,8029,1
TK-005,2026-11-27,62.4,4.2,194,7.02,22.1,12219,0
