tank_id,tank_name,zone,latitude,longitude,tank_type,capacity_l,current_level_pct,days_since_cleaning,turbidity_ntu,tds_ppm,ph,bacterial_risk_index,overflow_events_30d,maintenance_overdue_days,usage_lpd,condition_score
TK-001,Sunrise Heights 1,A-Wing,18.522325412237606,73.76244824056731,Rooftop,75000,42,50,5.0,374,6.73,11.3,1,0,5411,88
TK-002,Green Valley 2,B-Wing,18.50103792040134,73.81703537685584,Ground,100000,72,71,5.6,254,7.38,31.2,0,35,7282,66
TK-003,River View 3,Tower 1,18.46415399022803,73.88661545927766,Overhead,100000,72,45,2.8,405,7.14,27.2,3,35,6662,68
TK-004,Maple Residency 4,Tower 2,18.47487236440553,73.81799217615188,Underground,30000,51,238,5.6,431,7.31,41.1,0,60,4520,83
TK-005,City Enclave 5,Main Block,18.489840986852805,73.90357143889742,Rooftop,100000,70,206,3.8,434,6.94,34.2,2,60,9567,55
TK-006,Lake View 6,Community Hall,18.4676185986948,73.93474706556172,Ground,75000,50,93,2.5,466,5.97,21.5,0,60,8255,84
TK-007,Hill Crest 7,Hostel A,18.459194169330093,73.90289879406286,Overhead,50000,62,50,3.0,219,6.28,44.3,2,0,9192,77
TK-008,Garden Court 8,Hostel B,18.50815156772853,73.84453267301399,Underground,75000,74,129,3.9,287,6.7,22.3,0,0,4451,82
TK-009,Sunrise Heights 9,A-Wing,18.500093902921346,73.89326925544864,Rooftop,20000,64,194,4.5,313,6.86,30.2,1,0,3748,57
TK-010,Green Valley 10,B-Wing,18.462982685068226,73.9249614148893,Ground,100000,59,107,2.0,441,6.39,37.2,2,0,5139,71
TK-011,River View 11,Tower 1,18.490698102104954,73.83029250221516,Overhead,50000,39,59,4.4,367,6.61,4.0,1,10,7861,98
TK-012,Maple Residency 12,Tower 2,18.48989985077873,73.92795937876203,Underground,75000,81,51,3.9,399,7.7,11.6,0,20,6008,63
TK-013,City Enclave 13,Main Block,18.469999978630554,73.78645968527486,Rooftop,50000,47,257,4.7,394,7.36,5.2,0,10,15958,81
TK-014,Lake View 14,Community Hall,18.443417650711037,73.83923213699101,Ground,50000,54,67,4.1,344,7.49,4.0,0,90,7355,61
TK-015,Hill Crest 15,Hostel A,18.559556846111096,73.86651372607365,Overhead,20000,83,102,3.5,305,6.25,21.2,0,0,5769,98
TK-016,Garden Court 16,Hostel B,18.52192078557934,73.87924754830529,Underground,100000,63,101,2.0,355,6.54,45.1,0,0,6526,58
TK-017,Sunrise Heights 17,A-Wing,18.487199622610806,73.8540680836945,Rooftop,100000,71,252,6.4,503,7.02,33.1,0,35,10897,82
TK-018,Green Valley 18,B-Wing,18.418432836033947,73.94254639661156,Ground,75000,96,199,1.4,340,6.69,33.3,0,20,4700,63
TK-019,River View 19,Tower 1,18.472645069566397,73.87687872743994,Overhead,75000,91,259,3.6,369,7.25,22.9,3,0,7663,64
TK-020,Maple Residency 20,Tower 2,18.52121561440602,73.79368036411302,Underground,50000,66,206,3.0,306,6.72,14.2,0,10,9306,94
TK-021,City Enclave 21,Main Block,18.490912355607204,73.86882866792268,Rooftop,30000,46,149,3.2,369,7.03,17.5,0,90,13055,64
TK-022,Lake View 22,Community Hall,18.494202225161565,73.92029268104442,Ground,100000,52,199,2.5,288,5.72,4.0,0,20,4825,68
TK-023,Hill Crest 23,Hostel A,18.400902222388954,73.78664773773045,Overhead,30000,96,57,3.4,218,6.3,50.2,2,60,15934,59
TK-024,Garden Court 24,Hostel B,18.43559143147073,73.8477361077029,Underground,50000,79,139,6.7,407,6.69,36.1,1,0,3950,72
